,Hotel_Address,Average_Score,Hotel_Name,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,Review_Date
8121,1 Impasse Marteau 18th arr 75018 Paris France,7.4,Novotel Suites Paris Nord 18 me, As I said the coffee maker didn t work Apart from that I loved it , Perfect location for the Stade de France and Metro to centre of Paris Good bus links to Stade de France bus stop right outside hotel Pleasant walk back to hotel afterwards I loved the diverse nature of the area Coffee maker did not work apart from that the room was spacious clean and comfortable Better than I expected ,7.5,"[' Leisure trip ', ' Solo traveler ', ' Superior Suite with 1 Double Bed and 1 Single Bed ', ' Stayed 1 night ']",48.9015941,2.3597783,2017-03-08
8301,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,7.7,Grand Royale London Hyde Park, Room to small which was difficult to navigate with 2 large suitcases Our room wasn t made up till about 4 30 in the afternoon even though we had been out for at least four hours earlier in the day , Close to Kensington Palace which is the reason I stayed there Georgeous lobby and sitting room full of history Helpful staff ,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.5109945,-0.18634170000000003,2017-03-08
11259,1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,9.5,Milestone Hotel Kensington, Nothing that I can think of , Brilliant A wonderful property with excellent staff Nothing is too much trouble Incredible attention to detail regarding my preferences from previous stays VERY expensive but worth it for a really indulgent stay ,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Queen Room ', ' Stayed 2 nights ']",51.5020425,-0.18665410000000002,2017-02-08
11345,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,8.1,Crowne Plaza London Kings Cross, We were there on Friday night came back to the hotel at about 9pm thinking we would like a quiet drink But there was very loud so called jazz being played in the only sitting area There was another bar area but we were told we could not use it so the only place was our room for such a large hotel there really should be somewhere to sit in comfort ,No Positive,5.8,"[' Leisure trip ', ' Couple ', ' Double Room with Sofa Bed Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5263854,-0.11360419999999999,2017-02-08
12352,1 Place De La Sorbonne 5th arr 75005 Paris France,8.9,Select Hotel, The room we were upgraded to featured a double bed made of two singles which kept moving apart , We were upgraded on arrival which was lovely Shower and bathroom facilities were excellent Staff were always helpful and welcoming they spoke English and were more than happy to answer any questions we might have Location was perfect courtyard had lovely places to dine or get a cocktail 5 mins walk from the metro and not far from Notre Damme or the Pantheon Lovely area for dining ,9.6,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.84830529999999,2.3425596,2017-01-08
12608,1 Place Vend me 1st arr 75001 Paris France,8.7,H tel De Vend me, All the staff showed great help except the old reception man in the morning shift 14 july 2017 he was not cooperative at all and he ruined my morning I hope the manger will do something to improve his attitude , The location was great and active room was clean and comfort If u will stay in this hotel u will find alot of coffee shops and alot of Resturants around u by walking only ,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8668564,2.3286339,2017-07-15
12697,1 Rue De Libourne 12th arr 75012 Paris France,8.7,Pullman Paris Centre Bercy, Fairly bland business hotel but excellent value and location , Excellent location close to both the gares de Lyon and Bercy and the lovely Bercy Park and the Bercy village with plenty of lively restaurants and bars Very good breakfast Helpful staff ,9.6,"[' Leisure trip ', ' Couple ', ' Classique Double Room ', ' Stayed 1 night ']",48.831520399999995,2.3870797,2017-03-08
12921,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,8.2,Gardette Park Hotel, The room is so small It is not like in the picture However we are used with rooms in Paris The elevator stops at the middle of 2 floors so you have to walk up or down to access your room It is quite strange with us , This hotel is a boutique hotel so everything look old but it works as normal The location is very nice easy go to Louvre Museum Many restaurants nearby and you can find some local coffee shop in the morning The staff is really helpful and friendly,9.6,"[' Leisure trip ', ' Group ', ' 3 rooms ', ' Stayed 3 nights ']",48.8610265,2.3788974,2017-03-08
13100,1 rue Geoffroy Marie 9th arr 75009 Paris France,8.6,Hotel Panache, You can hear people from other rooms loud and clear I couldn t sleep after 7am after the other guests woke up The first guy on the reception was rude and unhelpful , Location Good view Clean room and clean bathroom Air conditioner ,6.3,"[' Leisure trip ', ' Family with young children ', ' Classic Double or Twin Room ', ' Stayed 3 nights ']",48.87325429999999,2.343239,2017-02-08
13182,1 Rue Sainte Opportune 1st arr 75001 Paris France,7.7,H tel des Ducs D Anjou, First room air conditioning didn t work internet was dreadful last straw was no hot water in the morning for a shower so left a night early For the money was not expecting the Ritz but could be better, Good location and quiet room,5.4,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.8598229,2.347111,2017-07-22
13290,1 Rue Scribe 9th arr 75009 Paris France,8.6,Hotel Scribe Paris Opera by Sofitel, Our hotel room was a little small The bath had high sides and was difficult and dangerous to climb in and out for showering Definitely a no go for anyone with mobility issues The separate WC was tiny and a squeeze to get into and close the door A wall telephone was place at hip height so often knocked on in error We didn t receive nightly turn down as expected and raised this with the hotel , Staff were helpful and friendly The location was excellent for getting around Paris on foot or by Taxi ,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Spa Access ', ' Stayed 3 nights ']",48.8704175,2.3296832000000003,2017-07-29
13425,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,8.3,Novotel London West, Room is so stingy Staff s not polite except the taiwanese girl at reception she is helpful Conversation with a male staff at reception on phone after checked in Me hi can i have 2 sets of tooth brushes please Staff sorry it s 10pm now and the housekeeping is closed Me huh Closed I thought hotels provide 24hour service Staff where did you read that we provide 24 hours service Me Me i need two toothbrushes it s just basic request I know it s 10pm but i just checked in Staff yea but we are closed it s 10pm Me ,No Positive,3.8,"[' Leisure trip ', ' Family with young children ', ' Superior Room with 2 Single Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.4919588,-0.2200956,2017-02-08
14708,1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,9.6,Haymarket Hotel, nothing, The staff were excellent the location is spot on in theatre district the rooms were lovely the air con died in the unusually hot day in London so they moved us to another room and offered refreshments as compensation The best We will return hopefully ,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 2 nights ']",51.5084595,-0.1311382,2017-04-07
14829,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,9.4,Intercontinental London The O2, Being over charged and them telling me I wasn t telling the truth then rang my bank and they said 2 different payments have been taken out one for the room rate 225 and then an extra 325 Then suddenly they said it s come up on there system saying they charged me twice And all they could off what 25 of what a joke Very disappointed,No Positive,5.8,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5024348,-0.0002497,2017-03-08
17380,10 12 rue Cognacq Jay 7th arr 75007 Paris France,8.6,H tel Juliana Paris,No Negative, My husband and I were traveling as a part of our honeymoon and the room was provided with bottle of wine chocolates and more thank you very much for all your hospitality ,10.0,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.861937299999994,2.3040298,2017-03-08
17549,10 12 rue de Charonne 11th arr 75011 Paris France,8.9,Hotel L Antoine, Unusual not to have restaurant except for breakfast Not a problem really as they do provide free coffee treats in foyer area 2 6 pm Also will order in for you if you want But seriously no need as the minute you step outside there are lots and lots of eateries , Location was excellent as were decor staff and atmosphere Lots of shops and restaurants nearby Robes and slippers a lovely extra luxury ,9.6,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.852421500000005,2.3743832,2017-06-07
17720,10 avenue Carnot 17th arr 75017 Paris France,7.7,Belfast,No Negative, Everything at this hotel is very good metro is near a halal restaurant is opposite to the hotel but more quality at rooms is needed the big cabinets could be removed as they take a good place at the room and we didn t use them at all,9.6,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8756435,2.2938788,2017-07-27
17806,10 Avenue D I na 16th arr 75016 Paris France,9.3,Shangri La Hotel Paris,No Negative, Very nice restaurant All rooms are different even in the same category I did not like the room that was offered and staff proposed me to change for another one free of charge ,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 3 nights ']",48.8637135,2.2934759,2017-07-31
17852,10 Avenue Emile Zola 15th arr 75015 Paris France,8.0,Mercure Paris Tour Eiffel Pont Mirabeau, The breakfast area was too small with not enough seats and tables to accommodate guests On Sunday breakfast was absolute chaos There were no coffee cups the kuerig machines weren t working there were no eggs or sausage or seats or milk or silverware and one poor staff person trying to do it all We wouldn t come back to this hotel because they are not prepared to serve breakfast to their guests ,No Positive,7.5,"[' Leisure trip ', ' Couple ', ' Privilege Room with 1 Double Bed ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8460269,2.2788281,2017-08-06
17922,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,9.1,Knightsbridge Hotel,No Negative, Staff were friendly courteous helpful in every respect I did not have the proper charger for my I Phone and the staff provided me with one ,10.0,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 1 night ']",51.4980052,-0.1643238,2015-09-16
18095,10 Berners Street Westminster Borough London W1T 3NP United Kingdom,9.1,The London EDITION, The rooms were lacking plugs to charge our phones and iPads , Room was large as well as bathroom and decent location The hotel was obvious a going place as the lobby which had a bar and pool table were full of young people having a wonderful time The staff from the front desk to the doormen were friendly and helpful ,9.6,"[' Leisure trip ', ' Group ', ' Standard Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.5167472,-0.135965,2017-06-28
18236,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,7.8,The Cranley Hotel, The service and staff are very low the room Was dirty staines all over the curtains terrace with dirty pillows and wet kitchen smell all day long coming inside the room ,No Positive,5.0,"[' Leisure trip ', ' Couple ', ' Junior Suite 2 Adults 1 Child ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.4916378,-0.18328329999999998,2017-02-08
18396,10 Bis rue du D barcad re 17th arr 75017 Paris France,9.2,Hotel Le 10 BIS, Nothing, The staff were extremely pleasant and efficient The d cor of the hotel was dark which really should not have worked but in reality the effect was fabulous ,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ']",48.8780363,2.2864907000000003,2017-08-07
18445,10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom,9.0,The Nadler Soho, Hotels in London are extremely expensive compared to other places I have visited Nadler is no different and I know this is not their fault but I would go back to London more often if it wasn t for the cost,No Positive,9.6,"[' Leisure trip ', ' Family with young children ', ' Nadler Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5147387,-0.1341108,2017-02-08
18936,10 Godliman Street City of London London EC4V 5AJ United Kingdom,8.5,Grange St Paul s Hotel, The first room we were put in superior was lovely and had separate shower and bath unfortunately there were noisy children running around above us and I asked to be moved The second room appeared smaller and without separate shower which was disappointing Please note that the first room s shower drain I think it was 406 smelt terrible and we were able to detect the odour as soon as the door to the room was open and it was even worse when we went into the bathroom The drain needs changing or at least a professional clean Both rooms showed wear and tear We didn t dine in the hotel as there was so much choice elsewhere however if the prices had been more competitive then I think we would have done , We noticed there was a bed topper and this was really appreciated and made a difference thank you The toiletries supplied were lovely as were the slippers and bathrobes Free wifi fantastic Tea and coffee supplies were great too The spa and gym facilities were the reason we booked the hotel and were very good but it would have been better without children having so much access time The locality of the hotel was a bonus and near the St Paul s underground and 5 mins walk from Barts Hospital which is why we were there in the first place We felt safe walking around in the evening and took a sneaky peak at St Paul s from the 7th Floor of the hotel really great view ,7.1,"[' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",51.5127625,-0.09971569999999999,2017-02-08
20090,10 Harrington Road Kensington and Chelsea London SW7 3ER United Kingdom,9.1,The Ampersand Hotel, The cupboard length was too short for clothes to be hung , The attention to detail paid to the furnishing decorations and accessories The lovely drawing room The location is excellent ,9.6,"[' Leisure trip ', ' Solo traveler ', ' Small Double Room ', ' Stayed 1 night ']",51.49430770000001,-0.1755579,2017-07-20
20472,10 Monmouth Street Camden London WC2H 9HB United Kingdom,9.4,Covent Garden Hotel, There is nothing not to like about this place , Lovely lounge and bar to escape the city for some relax time if needed Also best coffee in London just over the road from the hotel ,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.51459860000001,-0.1270336,2017-08-07
20546,10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,9.3,The Nadler Victoria, The rooms are just a tad small the only downgrade I could find But really it s an older building probably 19th century that s been upgraded and modernized nicely , Staff was 1st rate The young woman Carmen with the most enchanting eyes I might add was especially friendly and helpful ,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']",51.4990259,-0.1427453,2017-03-08
21147,10 Pepys Street City of London London EC3N 2NR United Kingdom,8.6,Novotel London Tower Bridge, Hotel blocked GBP50 on my card on top of the full price for room without any notification or information in booking com system which I find breaching booking com rules The amount was released 2 days after check out which meant that during my London trip I couldn t spend part of my money Receptionist manager in the hotel couldn t find any immediate solution to that and behaved as it hadn t been any issue Is not about GBP50 but I may simply imagine that the hotel might have blocked GBP500 for same security reasons and in such condition I would be deprived of any money I had converted earlier to my GBP account before weekend trip It s just can t be trusted ,No Positive,4.6,"[' Leisure trip ', ' Family with young children ', ' Superior Room with Queen Bed and Sofa ', ' Stayed 1 night ']",51.51065379999999,-0.07736760000000001,2017-07-25
21536,10 Place De La R publique 11th arr 75011 Paris France,8.0,Crowne Plaza Paris R publique, The air conditioning fan was a bit loud , The location was great it was very convenient to walk to restaurants it was at the major metro stop and easy to walk to different areas for shopping ,7.5,"[' Solo traveler ', ' Standard Room ', ' Stayed 4 nights ']",48.8673199,2.3656296,2017-07-31
21748,10 Place De Mexico 16th arr 75016 Paris France,8.3,Le Metropolitan a Tribute Portfolio Hotel, We ordered room service twice and each time the phone cut out We waited 45 minutes and nothing happened Eventually we went downstairs to be told the restaurant tried to call us but got no answer It would have been nice for someone to come to our door maybe and check what was going on , We stayed in a suite and the room set up was really cool It was a lovely relaxing break and a 15 minute walk from Eiffel Tower ,8.3,"[' Leisure trip ', ' Couple ', ' Junior Suite with Pool Access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8656973,2.2829776,2017-04-17
21814,10 rue Chateaubriand 8th arr 75008 Paris France,8.2,Atala Champs Elys es, First when I arrived at hotel with 3 big luggage n 2 small luggage no one stand up at reception to offer u any helps No service for my whole stay my phone in the room was not working n I have to go down n tell the staff n yet nothing happen When I go down again on the next morning staff told me she thought was done but no one even visited my room Until I check out also no one check on it Room sofa is all so old n oily , Location,4.2,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8735418,2.3024419999999997,2017-07-22
21843,10 rue d Ormesson 4th arr 75004 Paris France,9.0,H tel de Jos phine BONAPARTE, Rooms very small and dark and quite noisy in the evenings when trying to sleep bring earplugs , Great location very central Staff friendly particularly the female staff members ,7.1,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 6 nights ']",48.855531899999995,2.3621212000000003,2017-03-08
21919,10 rue de Bruxelles 9th arr 75009 Paris France,9.3,Maison Souquet,No Negative, The hotel is fantastic in design I love the curtains the wall and every other decorations They are all exquisite and exotic for me Also the hotel is near to the Eurostar station 15 mins car so it is convenient to move luggages There are lots of nice restaurants near the hotel with a wide range of food types to choose from Most importantly the hotel staff cleans the room frequently so I give a definite five star for the cleaness of the room ,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with Private Access to Pool and Spa ', ' Stayed 2 nights ']",48.88366,2.3313845,2017-07-14
22010,10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,8.3,Hotel Tour d Auvergne Opera, Had a mixed experience with the staff first day excellent helpful and friendly second day at checkout I was charged twice because the guy was convinced that I did not pay That was rather frustrating but later his colleague sent me an email to say that the refund was arranged so this speaks in their favour despite the negative experience After reading other comments related to the room size I decided to book a double room still there was barely any space for my carry on suitcase I don t think a double room would fit two people , Great location within a walking distance from La Gare du Nord and many other attractions cafes and restaurants an enjoyable atmosphere on a sunny day My room was very comfortable ,8.3,"[' Business trip ', ' Solo traveler ', ' Club Double or Twin Room ', ' Stayed 1 night ']",48.8789432,2.3448623,2017-06-19
22035,10 rue de Vaugirard 6th arr 75006 Paris France,8.3,Le Senat,No Negative, Friendly staff Very clean rooms Tasty breakfast Excellent location Close to several different Metro line stations Train from CDG goes straight to Luxembourg station then 10 min walk to hotel Just one block from Luxembourg Palace ,9.6,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8491427,2.3397118,2017-06-24
22155,10 Rue Gabriel Laumain 10th arr 75010 Paris France,8.3,Windsor Opera, Not applicable, All the people that work there are excellent We went to Versailles upon Checkout They guarded my luggage and took great care of us Trilingual staff French English and Spanish Gregg during the day and the night shift desk man were PHENOMENAL 10 stars ,10.0,"[' Leisure trip ', ' Group ', ' Superior Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8734851,2.3485111,2017-07-14
22189,10 rue Gager Gabillot 15th arr 75015 Paris France,7.1,Holiday Inn Paris Montparnasse Pasteur, The hotel needs an upgrade as bathroom was very dated and not clean Beds are very uncomfortable and the sofa bed is just terrible All theee of us had backache after only one night sleep there 4star for this hotel is definitely overrating Definitely not worth the money paid , Staff were very pleasant to deal with ,4.6,"[' Leisure trip ', ' Family with young children ', ' Superior Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8376887,2.3063102000000004,2017-03-08
22226,10 Rue Kepler 16th arr 75016 Paris France,9.1,H tel Keppler, Although we had an executive room it was a bit small particularly the bathroom When we checked out the hotel challenged whether our breakfast was included although I produced the paperwork to prove it Eventually the hotel agreed and said they would take this up with you , The hotel decor is beautiful and of the highest quality The staff are very helpful and friendly and breakfast was one of the best we have had Excellent restaurants nearby ,9.6,"[' Leisure trip ', ' Couple ', ' Executive Room ', ' Stayed 3 nights ']",48.869910299999994,2.2973386000000002,2017-05-30
22321,10 rue Lamartine 9th arr 75009 Paris France,8.8,Les Plumes Hotel, Absolutely nothing , 1 The room was well decorated modern small as per Parisian standards however cozy 2 The shower was amazing and had great LED lights to enjoy your long nice shower 3 The room offered a free Samsung phone to make free local and international calls to certain destinations along with free data 4 Staff were great and polite and extremely helpful They were always ready to assist and guide us before we stepped out 5 Great location 3 mins walking distance from Cadet Metro Pink Line which runs through the city various restaurants and cafes Located in 9th arrondissement safe neighbourhood ,9.6,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 7 nights ']",48.8766269,2.3432886,2017-02-08
22434,10 rue Saint Hyacinthe 1st arr 75001 Paris France,8.1,Hotel des Tuileries Relais du Silence, the hotel itself seems a little old I stayed there a few years ago and loved it they could do with a little renovation of the furniture which was bad and old specially at the entrance of the hotel reception looks old and not very practical , prefect location quiet excellent if you dont want the noice of the city plenty of nice restaurants,7.5,"[' Leisure trip ', ' Family with young children ', ' Cosy Room ', ' Stayed 1 night ']",48.8661705,2.331561,2017-07-31
22525,10 rue Saint Philippe du Roule 8th arr 75008 Paris France,9.1,Bradford Elys es Astotel,No Negative, Staff and accomodations were great Precious boutique hotel in a charming area lots of cafes and shops in walking distance Will definitely book again ,10.0,"[' Leisure trip ', ' Couple ', ' Privilege Double Room ', ' Stayed 3 nights ']",48.8729676,2.3081177999999998,2017-06-23
22607,10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,8.4,W London Leicester Square, Would have preferred to have been told there was renovation being done in the bar lounge area, location excellent staff superb felt so welcome the manager Billy listened to a problem I had and came up with an excellent solution instantly Thanks ,9.2,"[' Leisure trip ', ' Group ', ' Wonderful Room ', ' Stayed 6 nights ']",51.510843,-0.1314287,2017-02-08
22874,10 West Temple Sheen London SW14 7RT United Kingdom,8.3,The Victoria, Nothing, Such a great energy and atmosphere here The staff were awesome and the food was tremendous Ask for recommendations the staff knows the food well,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.461121899999995,-0.27562159999999997,2017-02-08
23036,100 110 Euston Road Camden London NW1 2AJ United Kingdom,8.9,Pullman London St Pancras, The whole refit in rooms used to usethis hotel often but didn t like the whole decor theam like it before minimal style some my like it not for me, Very close to eurostar train,7.5,"[' Leisure trip ', ' Solo traveler ', ' Classic Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.5286766,-0.12834890000000002,2017-02-08
24278,100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,8.7,Crowne Plaza London Kensington,No Negative, It was my partners 60th birthday and the hotel staff were amazing Receptionist were lovely They left a card cake and a bottle of wine The room was lovely at the back overlooking the garden The little things do make a big difference and it made his weekend Thank you we come to London a lot and we will be back ,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.495179,-0.183827,2017-02-08
